Incident ID, Reported on, Incident type, Address
131525,03/04/2016 at 05:23,Water Supply,"30 Rapaki Rd, Hillsborough, Christchurch 8022, New Zealand"
131531,03/04/2016 at 05:38,Graffiti,"25 Sheldon St, Woolston, Christchurch 8023, New Zealand"
131533,03/04/2016 at 05:48,Graffiti,"47 Cumnor Terrace, Woolston, Christchurch 8023, New Zealand"
131535,03/04/2016 at 05:57,Graffiti,"66 Radley St, Woolston, Christchurch 8023, New Zealand"
131538,03/04/2016 at 06:07,Rubbish/Recycling,"Gertrude Place, Avondale, 8061, Canterbury"
131581,03/04/2016 at 09:37,Rubbish/Recycling,"600, Cashel Street, Linwood, 8011, Canterbury"
131590,03/04/2016 at 19:18,Wastewater/Stormwater,"Anzac Dr, Christchurch, New Zealand"
131594,03/04/2016 at 20:11,Rubbish/Recycling,"12, Ava Place, Dallington, 8061, Canterbury"
131595,03/04/2016 at 20:20,Rubbish/Recycling,"152, New Brighton Road, Burwood, 8061, Canterbury"
131662,03/04/2016 at 23:48,Water Supply,"394, Cashel Street, Linwood, 8011, Canterbury"
131677,04/04/2016 at 00:50,Water Supply,"10-12 Bartlett St, Riccarton, Christchurch 8011, New Zealand"
131678,04/04/2016 at 00:52,Rubbish/Recycling,"111, Bexley Road, Bexley, 8061, Canterbury"
131686,04/04/2016 at 01:11,Graffiti,"Main Rd, Mt Pleasant, Christchurch 8081, New Zealand"
131688,04/04/2016 at 01:21,Graffiti,"8 Bonar Pl, Woolston, Christchurch 8062, New Zealand"
131690,04/04/2016 at 01:21,Wastewater/Stormwater,"12, Kenilworth Street, Addington, 8024, Canterbury"
131691,04/04/2016 at 01:22,Rubbish/Recycling,"7 Bonar Pl, Woolston, Christchurch 8062, New Zealand"
131711,04/04/2016 at 02:18,Graffiti,"1 McCarthy St, Hoon Hay, Christchurch 8025, New Zealand"
131713,04/04/2016 at 02:20,Graffiti,"75 Rowley Ave, Hoon Hay, Christchurch 8025, New Zealand"
131720,04/04/2016 at 02:36,Graffiti,"106, Champion Street, Edgeware, 8013, Canterbury"
131723,04/04/2016 at 02:40,Graffiti,"141, Champion Street, Edgeware, 8013, Canterbury"
131737,04/04/2016 at 03:19,Roading/Streets,"133 Ensors Rd, Waltham, Christchurch 8011, New Zealand"
131739,04/04/2016 at 03:33,Graffiti,"680, Barbadoes Street, Edgeware, 8013, Canterbury"
131740,04/04/2016 at 03:34,Wastewater/Stormwater,"4–24, Marine Drive, Diamond Harbour, 8971, Canterbury"
131747,04/04/2016 at 03:40,Graffiti,"680, Barbadoes Street, Edgeware, 8013, Canterbury"
131750,04/04/2016 at 03:43,Graffiti,"680, Barbadoes Street, Edgeware, 8013, Canterbury"
